# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Oct  5 04:05:14 2023
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1987,10,1987.792,1691.56,0.83,1686.05,0.41
1987,11,1987.875,1691.15,0.73,1686.90,0.41
1987,12,1987.958,1690.51,0.88,1687.72,0.41
1988,1,1988.042,1692.08,0.83,1688.56,0.43
1988,2,1988.125,1692.69,0.81,1689.33,0.46
1988,3,1988.208,1691.45,0.99,1690.11,0.50
1988,4,1988.292,1690.11,1.00,1690.94,0.53
1988,5,1988.375,1689.08,1.03,1691.77,0.57
1988,6,1988.458,1687.08,1.10,1692.62,0.60
1988,7,1988.542,1685.77,0.75,1693.50,0.62
1988,8,1988.625,1689.12,1.00,1694.42,0.64
1988,9,1988.708,1695.90,1.21,1695.35,0.65
1988,10,1988.792,1701.05,1.25,1696.31,0.65
1988,11,1988.875,1702.88,1.20,1697.30,0.65
1988,12,1988.958,1702.02,1.02,1698.30,0.64
1989,1,1989.042,1700.56,0.96,1699.33,0.62
1989,2,1989.125,1701.06,1.07,1700.32,0.61
1989,3,1989.208,1702.48,1.26,1701.32,0.59
1989,4,1989.292,1703.58,1.02,1702.33,0.58
1989,5,1989.375,1703.37,0.49,1703.34,0.56
1989,6,1989.458,1700.22,0.83,1704.32,0.56
1989,7,1989.542,1698.18,0.87,1705.28,0.55
1989,8,1989.625,1701.99,0.97,1706.23,0.55
1989,9,1989.708,1707.21,1.02,1707.13,0.56
1989,10,1989.792,1710.50,1.09,1708.00,0.57
1989,11,1989.875,1713.10,0.86,1708.83,0.59
1989,12,1989.958,1713.24,0.87,1709.62,0.61
1990,1,1990.042,1712.10,1.13,1710.40,0.63
1990,2,1990.125,1713.50,1.29,1711.10,0.65
1990,3,1990.208,1714.40,0.94,1711.78,0.66
1990,4,1990.292,1712.50,0.96,1712.45,0.68
1990,5,1990.375,1710.56,1.00,1713.11,0.69
1990,6,1990.458,1708.34,0.80,1713.77,0.70
1990,7,1990.542,1706.39,0.72,1714.42,0.71
1990,8,1990.625,1710.11,1.32,1715.11,0.72
1990,9,1990.708,1717.60,1.44,1715.81,0.72
1990,10,1990.792,1722.04,1.05,1716.55,0.72
1990,11,1990.875,1723.50,0.93,1717.35,0.73
1990,12,1990.958,1723.33,1.01,1718.21,0.73
1991,1,1991.042,1721.53,1.16,1719.16,0.73
1991,2,1991.125,1721.18,1.16,1720.15,0.72
1991,3,1991.208,1722.11,0.97,1721.20,0.72
1991,4,1991.292,1722.49,1.07,1722.37,0.72
1991,5,1991.375,1722.20,1.11,1723.60,0.72
1991,6,1991.458,1718.99,1.17,1724.88,0.72
1991,7,1991.542,1716.03,1.01,1726.19,0.71
1991,8,1991.625,1719.23,1.13,1727.52,0.71
1991,9,1991.708,1726.22,1.51,1728.81,0.71
1991,10,1991.792,1732.76,0.97,1730.05,0.71
1991,11,1991.875,1737.46,0.92,1731.20,0.71
1991,12,1991.958,1739.63,1.01,1732.25,0.70
1992,1,1992.042,1738.92,0.97,1733.20,0.69
1992,2,1992.125,1737.39,1.00,1733.95,0.67
1992,3,1992.208,1736.95,0.92,1734.56,0.66
1992,4,1992.292,1736.62,0.57,1735.04,0.63
1992,5,1992.375,1734.94,0.78,1735.37,0.61
1992,6,1992.458,1731.56,1.08,1735.56,0.58
1992,7,1992.542,1728.78,1.19,1735.63,0.55
1992,8,1992.625,1730.31,1.07,1735.61,0.53
1992,9,1992.708,1734.62,0.77,1735.53,0.51
1992,10,1992.792,1737.64,0.75,1735.41,0.49
1992,11,1992.875,1739.22,1.05,1735.28,0.48
1992,12,1992.958,1738.57,0.93,1735.17,0.47
1993,1,1993.042,1735.74,0.84,1735.10,0.46
1993,2,1993.125,1734.39,0.87,1735.09,0.46
1993,3,1993.208,1735.52,0.90,1735.15,0.45
1993,4,1993.292,1736.67,0.69,1735.29,0.46
1993,5,1993.375,1734.97,0.77,1735.51,0.46
1993,6,1993.458,1730.86,0.90,1735.80,0.47
1993,7,1993.542,1728.04,0.96,1736.16,0.49
1993,8,1993.625,1731.21,1.00,1736.60,0.51
1993,9,1993.708,1738.50,0.98,1737.07,0.54
1993,10,1993.792,1743.33,0.95,1737.59,0.57
1993,11,1993.875,1745.17,0.80,1738.13,0.60
1993,12,1993.958,1744.29,0.90,1738.70,0.62
1994,1,1994.042,1741.42,0.94,1739.28,0.64
1994,2,1994.125,1740.88,1.00,1739.85,0.66
1994,3,1994.208,1741.96,0.89,1740.43,0.66
1994,4,1994.292,1741.93,0.75,1741.03,0.66
1994,5,1994.375,1740.64,1.08,1741.64,0.65
1994,6,1994.458,1736.92,1.25,1742.26,0.63
1994,7,1994.542,1732.41,1.18,1742.88,0.61
1994,8,1994.625,1734.10,1.17,1743.51,0.58
1994,9,1994.708,1742.97,0.91,1744.13,0.56
1994,10,1994.792,1749.81,0.69,1744.75,0.53
1994,11,1994.875,1751.25,0.75,1745.36,0.51
1994,12,1994.958,1751.61,0.81,1745.96,0.49
1995,1,1995.042,1751.11,0.91,1746.53,0.48
1995,2,1995.125,1749.50,0.92,1747.05,0.47
1995,3,1995.208,1749.01,0.65,1747.53,0.47
1995,4,1995.292,1749.42,0.74,1747.97,0.47
1995,5,1995.375,1747.65,1.04,1748.37,0.46
1995,6,1995.458,1742.84,0.98,1748.72,0.46
1995,7,1995.542,1740.15,0.97,1749.02,0.46
1995,8,1995.625,1743.59,1.24,1749.28,0.47
1995,9,1995.708,1749.81,1.20,1749.49,0.47
1995,10,1995.792,1754.32,0.71,1749.68,0.48
1995,11,1995.875,1755.49,0.85,1749.84,0.50
1995,12,1995.958,1753.87,0.93,1750.00,0.52
1996,1,1996.042,1752.20,0.96,1750.15,0.55
1996,2,1996.125,1752.72,1.02,1750.30,0.58
1996,3,1996.208,1752.25,0.90,1750.47,0.61
1996,4,1996.292,1749.57,0.90,1750.65,0.64
1996,5,1996.375,1748.28,0.99,1750.84,0.66
1996,6,1996.458,1746.04,0.97,1751.05,0.68
1996,7,1996.542,1742.02,0.93,1751.27,0.69
1996,8,1996.625,1744.26,1.26,1751.51,0.69
1996,9,1996.708,1752.61,1.37,1751.74,0.68
1996,10,1996.792,1758.84,0.97,1751.97,0.66
1996,11,1996.875,1760.03,0.90,1752.21,0.63
1996,12,1996.958,1756.93,0.78,1752.44,0.60
1997,1,1997.042,1753.37,0.88,1752.68,0.55
1997,2,1997.125,1753.86,0.97,1752.92,0.50
1997,3,1997.208,1755.68,0.76,1753.18,0.45
1997,4,1997.292,1755.51,0.88,1753.48,0.41
1997,5,1997.375,1753.84,0.66,1753.82,0.37
1997,6,1997.458,1750.14,0.86,1754.22,0.34
1997,7,1997.542,1746.11,0.96,1754.69,0.33
1997,8,1997.625,1747.89,0.86,1755.25,0.34
1997,9,1997.708,1755.04,0.87,1755.90,0.36
1997,10,1997.792,1760.22,0.74,1756.64,0.39
1997,11,1997.875,1761.68,0.85,1757.48,0.42
1997,12,1997.958,1761.92,0.72,1758.41,0.45
1998,1,1998.042,1761.44,0.83,1759.45,0.48
1998,2,1998.125,1761.43,1.34,1760.50,0.50
1998,3,1998.208,1762.96,1.54,1761.61,0.51
1998,4,1998.292,1764.69,1.06,1762.78,0.53
1998,5,1998.375,1764.24,0.83,1763.96,0.54
1998,6,1998.458,1760.34,0.65,1765.13,0.55
1998,7,1998.542,1756.14,0.94,1766.25,0.57
1998,8,1998.625,1760.19,0.89,1767.34,0.59
1998,9,1998.708,1770.69,1.26,1768.33,0.61
1998,10,1998.792,1776.21,1.21,1769.23,0.63
1998,11,1998.875,1775.46,0.83,1770.02,0.65
1998,12,1998.958,1774.06,0.81,1770.71,0.66
1999,1,1999.042,1773.80,0.97,1771.31,0.67
1999,2,1999.125,1773.91,1.35,1771.78,0.67
1999,3,1999.208,1774.63,1.13,1772.16,0.66
1999,4,1999.292,1775.00,0.74,1772.47,0.64
1999,5,1999.375,1772.70,0.88,1772.72,0.62
1999,6,1999.458,1767.38,0.85,1772.91,0.59
1999,7,1999.542,1762.96,0.80,1773.05,0.57
1999,8,1999.625,1764.67,0.83,1773.16,0.56
1999,9,1999.708,1771.07,0.86,1773.25,0.55
1999,10,1999.792,1776.63,0.84,1773.31,0.55
1999,11,1999.875,1778.58,0.68,1773.36,0.56
1999,12,1999.958,1777.29,0.73,1773.40,0.57
2000,1,2000.042,1775.66,1.00,1773.42,0.59
2000,2,2000.125,1775.75,1.23,1773.42,0.60
2000,3,2000.208,1776.73,1.33,1773.41,0.61
2000,4,2000.292,1777.30,1.28,1773.36,0.62
2000,5,2000.375,1774.62,1.10,1773.29,0.63
2000,6,2000.458,1768.17,0.97,1773.19,0.63
2000,7,2000.542,1763.51,0.77,1773.06,0.63
2000,8,2000.625,1765.58,1.08,1772.89,0.63
2000,9,2000.708,1772.14,1.13,1772.71,0.63
2000,10,2000.792,1777.11,0.80,1772.51,0.63
2000,11,2000.875,1777.81,0.88,1772.29,0.63
2000,12,2000.958,1775.41,1.01,1772.07,0.64
2001,1,2001.042,1772.87,0.86,1771.86,0.64
2001,2,2001.125,1772.51,0.96,1771.66,0.63
2001,3,2001.208,1773.67,1.02,1771.48,0.63
2001,4,2001.292,1773.87,0.65,1771.32,0.62
2001,5,2001.375,1770.75,0.76,1771.20,0.61
2001,6,2001.458,1765.86,1.02,1771.10,0.60
2001,7,2001.542,1762.76,1.05,1771.04,0.58
2001,8,2001.625,1764.31,1.00,1771.01,0.56
2001,9,2001.708,1770.39,0.93,1771.02,0.54
2001,10,2001.792,1775.47,0.70,1771.05,0.51
2001,11,2001.875,1776.56,0.69,1771.11,0.49
2001,12,2001.958,1775.94,0.95,1771.19,0.48
2002,1,2002.042,1774.09,1.08,1771.29,0.46
2002,2,2002.125,1772.81,1.00,1771.41,0.46
2002,3,2002.208,1773.42,0.66,1771.55,0.46
2002,4,2002.292,1772.75,0.76,1771.71,0.47
2002,5,2002.375,1770.30,0.83,1771.89,0.49
2002,6,2002.458,1766.92,0.94,1772.10,0.51
2002,7,2002.542,1764.20,0.91,1772.35,0.53
2002,8,2002.625,1766.86,0.90,1772.64,0.56
2002,9,2002.708,1773.69,0.98,1772.97,0.58
2002,10,2002.792,1778.24,1.32,1773.34,0.59
2002,11,2002.875,1779.49,1.18,1773.76,0.60
2002,12,2002.958,1779.67,0.75,1774.23,0.60
2003,1,2003.042,1777.53,0.96,1774.74,0.60
2003,2,2003.125,1774.82,1.04,1775.27,0.59
2003,3,2003.208,1774.86,0.80,1775.82,0.58
2003,4,2003.292,1775.80,1.26,1776.39,0.56
2003,5,2003.375,1774.45,1.02,1776.97,0.54
2003,6,2003.458,1771.70,1.36,1777.51,0.53
2003,7,2003.542,1770.69,1.82,1778.02,0.52
2003,8,2003.625,1774.30,1.59,1778.47,0.51
2003,9,2003.708,1780.58,0.99,1778.84,0.51
2003,10,2003.792,1784.67,0.81,1779.11,0.50
2003,11,2003.875,1785.26,0.93,1779.28,0.50
2003,12,2003.958,1783.58,1.02,1779.33,0.50
2004,1,2004.042,1780.86,0.99,1779.26,0.49
2004,2,2004.125,1779.96,0.85,1779.08,0.49
2004,3,2004.208,1780.98,0.83,1778.81,0.49
2004,4,2004.292,1780.70,0.74,1778.43,0.49
2004,5,2004.375,1777.57,0.98,1777.97,0.49
2004,6,2004.458,1772.31,1.20,1777.47,0.50
2004,7,2004.542,1768.02,0.78,1776.93,0.51
2004,8,2004.625,1769.79,0.87,1776.39,0.52
2004,9,2004.708,1775.53,1.05,1775.86,0.53
2004,10,2004.792,1779.67,0.87,1775.38,0.53
2004,11,2004.875,1780.45,0.92,1774.96,0.53
2004,12,2004.958,1778.40,0.94,1774.62,0.53
2005,1,2005.042,1776.33,1.07,1774.35,0.53
2005,2,2005.125,1775.80,0.99,1774.17,0.53
2005,3,2005.208,1775.46,0.94,1774.08,0.53
2005,4,2005.292,1774.58,0.85,1774.06,0.53
2005,5,2005.375,1772.24,0.67,1774.10,0.54
2005,6,2005.458,1768.55,0.97,1774.18,0.55
2005,7,2005.542,1766.23,0.87,1774.30,0.57
2005,8,2005.625,1768.03,1.06,1774.43,0.58
2005,9,2005.708,1773.12,1.19,1774.55,0.59
2005,10,2005.792,1778.46,1.12,1774.66,0.58
2005,11,2005.875,1781.21,0.81,1774.73,0.58
2005,12,2005.958,1780.30,1.27,1774.78,0.56
2006,1,2006.042,1779.54,0.93,1774.79,0.53
2006,2,2006.125,1779.47,0.80,1774.78,0.51
2006,3,2006.208,1777.39,0.71,1774.75,0.48
2006,4,2006.292,1776.12,0.56,1774.72,0.46
2006,5,2006.375,1774.98,0.89,1774.71,0.45
2006,6,2006.458,1769.31,1.23,1774.73,0.45
2006,7,2006.542,1764.16,1.12,1774.81,0.46
2006,8,2006.625,1767.21,1.14,1774.96,0.48
2006,9,2006.708,1774.58,1.33,1775.19,0.50
2006,10,2006.792,1778.21,0.86,1775.51,0.51
2006,11,2006.875,1779.05,0.67,1775.92,0.53
2006,12,2006.958,1779.97,0.82,1776.42,0.54
2007,1,2007.042,1779.20,1.03,1777.00,0.55
2007,2,2007.125,1778.59,0.98,1777.62,0.56
2007,3,2007.208,1780.26,0.86,1778.29,0.57
2007,4,2007.292,1781.11,1.06,1779.02,0.58
2007,5,2007.375,1779.48,1.32,1779.75,0.58
2007,6,2007.458,1775.63,1.02,1780.49,0.59
2007,7,2007.542,1772.57,1.04,1781.21,0.59
2007,8,2007.625,1777.20,1.54,1781.90,0.60
2007,9,2007.708,1785.90,1.59,1782.55,0.60
2007,10,2007.792,1789.83,1.09,1783.17,0.60
2007,11,2007.875,1789.52,0.96,1783.74,0.60
2007,12,2007.958,1788.21,1.07,1784.28,0.60
2008,1,2008.042,1786.67,1.07,1784.81,0.60
2008,2,2008.125,1785.80,1.06,1785.30,0.60
2008,3,2008.208,1786.17,1.23,1785.78,0.60
2008,4,2008.292,1786.87,1.08,1786.29,0.60
2008,5,2008.375,1785.20,0.92,1786.80,0.59
2008,6,2008.458,1780.48,0.88,1787.34,0.57
2008,7,2008.542,1777.63,0.89,1787.88,0.55
2008,8,2008.625,1781.06,0.97,1788.46,0.53
2008,9,2008.708,1787.68,0.98,1789.04,0.51
2008,10,2008.792,1793.65,0.67,1789.62,0.48
2008,11,2008.875,1797.30,1.20,1790.21,0.46
2008,12,2008.958,1796.63,1.18,1790.78,0.46
2009,1,2009.042,1795.06,0.83,1791.33,0.46
2009,2,2009.125,1795.59,1.02,1791.84,0.48
2009,3,2009.208,1795.99,0.98,1792.32,0.50
2009,4,2009.292,1795.54,0.75,1792.77,0.53
2009,5,2009.375,1792.35,0.66,1793.19,0.56
2009,6,2009.458,1786.93,0.84,1793.58,0.59
2009,7,2009.542,1784.94,1.05,1793.94,0.61
2009,8,2009.625,1788.84,0.99,1794.28,0.62
2009,9,2009.708,1794.85,1.29,1794.61,0.63
2009,10,2009.792,1798.02,1.41,1794.93,0.62
2009,11,2009.875,1797.89,0.82,1795.25,0.61
2009,12,2009.958,1796.72,0.93,1795.59,0.60
2010,1,2010.042,1797.12,1.26,1795.95,0.58
2010,2,2010.125,1798.77,1.34,1796.31,0.57
2010,3,2010.208,1799.48,1.20,1796.68,0.57
2010,4,2010.292,1799.63,0.92,1797.10,0.57
2010,5,2010.375,1797.73,1.18,1797.53,0.58
2010,6,2010.458,1792.57,1.29,1797.97,0.59
2010,7,2010.542,1789.45,0.95,1798.43,0.61
2010,8,2010.625,1794.10,0.93,1798.90,0.62
2010,9,2010.708,1801.88,1.00,1799.37,0.63
2010,10,2010.792,1806.55,1.05,1799.83,0.63
2010,11,2010.875,1807.04,1.02,1800.29,0.63
2010,12,2010.958,1803.65,0.97,1800.74,0.62
2011,1,2011.042,1800.46,1.03,1801.18,0.61
2011,2,2011.125,1800.17,0.79,1801.60,0.61
2011,3,2011.208,1800.99,0.58,1802.00,0.60
2011,4,2011.292,1802.88,0.66,1802.42,0.61
2011,5,2011.375,1803.32,0.83,1802.82,0.61
2011,6,2011.458,1799.17,0.69,1803.22,0.63
2011,7,2011.542,1796.18,0.85,1803.62,0.64
2011,8,2011.625,1799.06,1.04,1804.03,0.65
2011,9,2011.708,1804.09,1.80,1804.43,0.65
2011,10,2011.792,1809.57,1.64,1804.84,0.65
2011,11,2011.875,1812.38,1.11,1805.25,0.64
2011,12,2011.958,1810.06,0.94,1805.67,0.63
2012,1,2012.042,1807.36,0.95,1806.11,0.60
2012,2,2012.125,1808.36,1.18,1806.53,0.58
2012,3,2012.208,1810.06,0.82,1806.96,0.56
2012,4,2012.292,1808.48,0.54,1807.41,0.55
2012,5,2012.375,1804.77,1.16,1807.85,0.53
2012,6,2012.458,1801.02,1.18,1808.29,0.53
2012,7,2012.542,1799.36,1.12,1808.72,0.52
2012,8,2012.625,1803.30,1.02,1809.15,0.53
2012,9,2012.708,1810.18,1.13,1809.56,0.53
2012,10,2012.792,1814.82,1.06,1809.96,0.54
2012,11,2012.875,1815.94,1.15,1810.33,0.55
2012,12,2012.958,1814.61,0.84,1810.69,0.56
2013,1,2013.042,1814.04,0.91,1811.03,0.58
2013,2,2013.125,1814.13,1.27,1811.35,0.59
2013,3,2013.208,1813.27,1.00,1811.67,0.60
2013,4,2013.292,1812.81,0.74,1811.99,0.62
2013,5,2013.375,1811.95,0.86,1812.34,0.63
2013,6,2013.458,1808.58,1.41,1812.70,0.64
2013,7,2013.542,1805.75,1.70,1813.11,0.64
2013,8,2013.625,1808.40,1.23,1813.57,0.64
2013,9,2013.708,1814.35,0.98,1814.09,0.64
2013,10,2013.792,1818.57,0.71,1814.68,0.63
2013,11,2013.875,1820.34,0.68,1815.35,0.62
2013,12,2013.958,1819.35,0.89,1816.10,0.61
2014,1,2014.042,1816.84,1.03,1816.95,0.60
2014,2,2014.125,1816.40,1.20,1817.84,0.59
2014,3,2014.208,1818.15,1.21,1818.79,0.58
2014,4,2014.292,1820.88,0.79,1819.83,0.57
2014,5,2014.375,1821.91,0.83,1820.93,0.56
2014,6,2014.458,1818.35,0.81,1822.06,0.55
2014,7,2014.542,1815.52,1.02,1823.20,0.55
2014,8,2014.625,1819.73,1.14,1824.37,0.54
2014,9,2014.708,1826.89,1.15,1825.51,0.54
2014,10,2014.792,1831.21,0.66,1826.63,0.53
2014,11,2014.875,1833.05,0.65,1827.72,0.53
2014,12,2014.958,1833.56,1.05,1828.77,0.53
2015,1,2015.042,1833.07,1.21,1829.79,0.54
2015,2,2015.125,1832.98,0.98,1830.73,0.54
2015,3,2015.208,1833.22,0.76,1831.62,0.54
2015,4,2015.292,1833.14,0.93,1832.52,0.54
2015,5,2015.375,1831.67,0.92,1833.38,0.54
2015,6,2015.458,1827.25,0.85,1834.21,0.54
2015,7,2015.542,1824.68,1.06,1835.03,0.54
2015,8,2015.625,1829.17,1.05,1835.84,0.54
2015,9,2015.708,1836.27,1.03,1836.63,0.54
2015,10,2015.792,1841.40,0.84,1837.40,0.54
2015,11,2015.875,1844.67,0.99,1838.17,0.54
2015,12,2015.958,1844.91,1.06,1838.91,0.55
2016,1,2016.042,1842.40,0.85,1839.67,0.56
2016,2,2016.125,1841.63,0.99,1840.36,0.57
2016,3,2016.208,1843.00,0.76,1841.03,0.57
2016,4,2016.292,1843.74,0.56,1841.70,0.58
2016,5,2016.375,1842.13,0.78,1842.34,0.59
2016,6,2016.458,1837.85,1.12,1842.94,0.59
2016,7,2016.542,1834.15,1.06,1843.52,0.60
2016,8,2016.625,1836.70,1.13,1844.08,0.60
2016,9,2016.708,1844.21,1.35,1844.60,0.59
2016,10,2016.792,1849.85,1.15,1845.11,0.59
2016,11,2016.875,1851.43,1.13,1845.60,0.58
2016,12,2016.958,1851.07,0.93,1846.08,0.57
2017,1,2017.042,1849.68,0.88,1846.57,0.56
2017,2,2017.125,1848.38,1.09,1847.03,0.56
2017,3,2017.208,1848.20,1.16,1847.51,0.55
2017,4,2017.292,1848.53,1.08,1848.01,0.55
2017,5,2017.375,1847.14,0.84,1848.54,0.56
2017,6,2017.458,1842.95,0.96,1849.08,0.57
2017,7,2017.542,1840.38,1.32,1849.65,0.58
2017,8,2017.625,1844.62,1.18,1850.25,0.60
2017,9,2017.708,1852.73,0.99,1850.87,0.62
2017,10,2017.792,1857.96,0.96,1851.51,0.65
2017,11,2017.875,1858.50,0.82,1852.17,0.67
2017,12,2017.958,1856.52,0.94,1852.85,0.70
2018,1,2018.042,1854.42,1.02,1853.57,0.73
2018,2,2018.125,1854.97,0.95,1854.26,0.75
2018,3,2018.208,1856.88,0.95,1854.97,0.77
2018,4,2018.292,1856.68,1.09,1855.71,0.80
2018,5,2018.375,1854.81,1.65,1856.45,0.81
2018,6,2018.458,1852.02,1.67,1857.20,0.83
2018,7,2018.542,1849.07,1.58,1857.94,0.84
2018,8,2018.625,1851.93,1.69,1858.70,0.85
2018,9,2018.708,1860.51,0.97,1859.44,0.84
2018,10,2018.792,1865.73,0.95,1860.17,0.84
2018,11,2018.875,1866.25,1.04,1860.89,0.83
2018,12,2018.958,1866.04,1.00,1861.60,0.81
2019,1,2019.042,1864.97,1.10,1862.32,0.78
2019,2,2019.125,1865.02,0.78,1863.00,0.76
2019,3,2019.208,1866.33,0.85,1863.69,0.73
2019,4,2019.292,1865.30,0.63,1864.40,0.70
2019,5,2019.375,1861.97,1.18,1865.13,0.67
2019,6,2019.458,1858.80,1.39,1865.88,0.63
2019,7,2019.542,1858.22,1.47,1866.65,0.60
2019,8,2019.625,1862.91,1.40,1867.47,0.57
2019,9,2019.708,1870.80,1.14,1868.32,0.55
2019,10,2019.792,1875.37,1.00,1869.20,0.53
2019,11,2019.875,1875.54,1.00,1870.14,0.52
2019,12,2019.958,1874.69,0.70,1871.12,0.53
2020,1,2020.042,1873.13,0.88,1872.18,0.54
2020,2,2020.125,1872.74,0.87,1873.22,0.56
2020,3,2020.208,1874.73,0.74,1874.31,0.57
2020,4,2020.292,1875.86,1.22,1875.49,0.59
2020,5,2020.375,1874.32,1.15,1876.69,0.60
2020,6,2020.458,1871.88,1.15,1877.93,0.61
2020,7,2020.542,1871.48,1.27,1879.21,0.62
2020,8,2020.625,1876.54,1.27,1880.54,0.62
